Name,Type,Path
Bhat et al. - 2023 - Aspirations and Practice of ML Model Documentation Moving the Needle with Nudging and Traceability.pdf,application/pdf,storage:Bhat et al. - 2023 - Aspirations and Practice of ML Model Documentation Moving the Needle with Nudging and Traceability.pdf
Crisan et al. - 2022 - Interactive Model Cards A Human-Centered Approach to Model Documentation.pdf,application/pdf,storage:Crisan et al. - 2022 - Interactive Model Cards A Human-Centered Approach to Model Documentation.pdf
2205.html,text/html,storage:2205.html
Mitchell et al. - 2019 - Model Cards for Model Reporting.pdf,application/pdf,storage:Mitchell et al. - 2019 - Model Cards for Model Reporting.pdf
1810.html,text/html,storage:1810.html
"Heger et al. - 2022 - Understanding Machine Learning Practitioners' Data Documentation Perceptions, Needs, Challenges, and.pdf",application/pdf,"storage:Heger et al. - 2022 - Understanding Machine Learning Practitioners' Data Documentation Perceptions, Needs, Challenges, and.pdf"
2206.html,text/html,storage:2206.html
"Nahar et al. - 2022 - Collaboration challenges in building ML-enabled systems communication, documentation, engineering,.pdf",application/pdf,"storage:Nahar et al. - 2022 - Collaboration challenges in building ML-enabled systems communication, documentation, engineering,.pdf"
Myers - 1986 - AnO(ND) difference algorithm and its variations.pdf,application/pdf,storage:Myers - 1986 - AnO(ND) difference algorithm and its variations.pdf
"Warner et al. - 2024 - Smarter, Better, Faster, Longer A Modern Bidirect.pdf",application/pdf,"storage:Warner et al. - 2024 - Smarter, Better, Faster, Longer A Modern Bidirect.pdf"
Touvron et al. - 2023 - LLaMA Open and Efficient Foundation Language Mode.pdf,application/pdf,storage:Touvron et al. - 2023 - LLaMA Open and Efficient Foundation Language Mode.pdf
1706.html,text/html,storage:1706.html
Vaswani et al. - 2023 - Attention Is All You Need.pdf,application/pdf,storage:Vaswani et al. - 2023 - Attention Is All You Need.pdf
Riasati et al. - 2012 - Technology in Language Education Benefits and Bar.pdf,application/pdf,storage:Riasati et al. - 2012 - Technology in Language Education Benefits and Bar.pdf
the-c4_200m-synthetic-dataset-for-grammatical-error-correction.html,text/html,storage:the-c4_200m-synthetic-dataset-for-grammatical-error-correction.html
1904.html,text/html,storage:1904.html
Lichtarge et al. - 2019 - Corpora Generation for Grammatical Error Correctio.pdf,application/pdf,storage:Lichtarge et al. - 2019 - Corpora Generation for Grammatical Error Correctio.pdf
2303.html,text/html,storage:2303.html
Coyne et al. - 2023 - Analyzing the Performance of GPT-3.5 and GPT-4 in .pdf,application/pdf,storage:Coyne et al. - 2023 - Analyzing the Performance of GPT-3.5 and GPT-4 in .pdf
Song et al. - 2024 - GEE! Grammar Error Explanation with Large Language.pdf,application/pdf,storage:Song et al. - 2024 - GEE! Grammar Error Explanation with Large Language.pdf
Grammatical-Error-Correction-A-Survey-of-the-State.html,text/html,storage:Grammatical-Error-Correction-A-Survey-of-the-State.html
Bryant et al. - 2023 - Grammatical Error Correction A Survey of the Stat.pdf,application/pdf,storage:Bryant et al. - 2023 - Grammatical Error Correction A Survey of the Stat.pdf
Salmen et al. - 2023 - TextConference Paper.pdf,application/pdf,storage:Salmen et al. - 2023 - TextConference Paper.pdf
explorabl.es.html,text/html,storage:explorabl.es.html
Bonwell and Eison - 1991 - Active Learning Creating Excitement in the Classr.pdf,application/pdf,storage:Bonwell and Eison - 1991 - Active Learning Creating Excitement in the Classr.pdf
2303.html,text/html,storage:2303.html
Wu et al. - 2023 - ChatGPT or Grammarly Evaluating ChatGPT on Gramma.pdf,application/pdf,storage:Wu et al. - 2023 - ChatGPT or Grammarly Evaluating ChatGPT on Gramma.pdf
2022-09-07-research-quantifying-github-copilots-impact-on-developer-productivity-and-happiness.html,text/html,storage:2022-09-07-research-quantifying-github-copilots-impact-on-developer-productivity-and-happiness.html
gemini-1-5-flash.html,text/html,storage:gemini-1-5-flash.html
2310.html,text/html,storage:2310.html
Maslej et al. - 2023 - Artificial Intelligence Index Report 2023.pdf,application/pdf,storage:Maslej et al. - 2023 - Artificial Intelligence Index Report 2023.pdf
2305.html,text/html,storage:2305.html
Fei et al. - 2023 - Enhancing Grammatical Error Correction Systems wit.pdf,application/pdf,storage:Fei et al. - 2023 - Enhancing Grammatical Error Correction Systems wit.pdf
2402.html,text/html,storage:2402.html
Zeng et al. - 2024 - Evaluating Prompting Strategies for Grammatical Er.pdf,application/pdf,storage:Zeng et al. - 2024 - Evaluating Prompting Strategies for Grammatical Er.pdf
Zeng et al. - 2024 - Evaluating Prompting Strategies for Grammatical Er.pdf,application/pdf,storage:Zeng et al. - 2024 - Evaluating Prompting Strategies for Grammatical Er.pdf
Katinskaia and Yangarber - 2024 - GPT-3.5 for Grammatical Error Correction.pdf,application/pdf,storage:Katinskaia and Yangarber - 2024 - GPT-3.5 for Grammatical Error Correction.pdf
Loem et al. - 2023 - Exploring Effectiveness of GPT-3 in Grammatical Er.pdf,application/pdf,storage:Loem et al. - 2023 - Exploring Effectiveness of GPT-3 in Grammatical Er.pdf
2311.html,text/html,storage:2311.html
Song et al. - 2023 - GEE! Grammar Error Explanation with Large Language.pdf,application/pdf,storage:Song et al. - 2023 - GEE! Grammar Error Explanation with Large Language.pdf
1810.html,text/html,storage:1810.html
Devlin et al. - 2019 - BERT Pre-training of Deep Bidirectional Transform.pdf,application/pdf,storage:Devlin et al. - 2019 - BERT Pre-training of Deep Bidirectional Transform.pdf
s40561-020-00140-9.html,text/html,storage:s40561-020-00140-9.html
Shemshack and Spector - 2020 - A systematic literature review of personalized lea.pdf,application/pdf,storage:Shemshack and Spector - 2020 - A systematic literature review of personalized lea.pdf
Freeman et al. - 2014 - Active learning increases student performance in s.pdf,application/pdf,storage:Freeman et al. - 2014 - Active learning increases student performance in s.pdf
9028680.html,text/html,storage:9028680.html
Serth et al. - 2019 - Evaluating Digital Worksheets with Interactive Pro.pdf,application/pdf,storage:Serth et al. - 2019 - Evaluating Digital Worksheets with Interactive Pro.pdf
gec-tag-not-rewrite.html,text/html,storage:gec-tag-not-rewrite.html
ExplorableExplanations.html,text/html,storage:ExplorableExplanations.html
Wiley and Iii - 2018 - Defining OER-Enabled Pedagogy.pdf,application/pdf,storage:Wiley and Iii - 2018 - Defining OER-Enabled Pedagogy.pdf
